,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
17,29-08-2016,25,02-09-2016,12675.691986083984,-528.6277770996094,-4.170405668423971,12803.372039794922,12274.744262695312,Closed
18,15-09-2016,24,03-10-2016,12255.547119140625,295.745361328125,2.41315510807536,12274.744262695312,12570.489624023438,Closed
19,13-12-2016,25,16-01-2017,12464.12124633789,436.9239807128906,3.5054535500548267,12570.489624023438,13007.413604736328,Closed
20,13-02-2017,26,20-03-2017,12838.644165039062,3128.4725341796875,24.367623979320463,13007.413604736328,16135.886138916016,Closed
21,15-06-2017,24,03-07-2017,15925.87939453125,-33.369140625,-0.20952777424936286,16135.886138916016,16102.516998291016,Closed
22,04-07-2017,23,07-08-2017,15681.368835449219,2274.5671997070312,14.504902113935092,16102.516998291016,18377.084197998047,Closed
23,19-09-2017,22,22-09-2017,17821.834228515625,-450.5421142578125,-2.528034479957897,18377.084197998047,17926.542083740234,Closed
24,10-10-2017,22,06-11-2017,17919.589477539062,1897.7967529296875,10.590626282529758,17926.542083740234,19824.338836669922,Closed
25,09-01-2018,21,18-01-2018,19088.011779785156,-431.07550048828125,-2.2583572635092586,19824.338836669922,19393.26333618164,Closed
26,22-01-2018,20,02-02-2018,18769.281005859375,-1297.33154296875,-6.9119938188562,19393.26333618164,18095.93179321289,Closed
27,28-02-2018,19,06-03-2018,17519.71746826172,-802.0657958984375,-4.578074945280597,18095.93179321289,17293.865997314453,Closed
28,27-03-2018,19,16-05-2018,16514.84197998047,1034.2440795898438,6.262512719428792,17293.865997314453,18328.110076904297,Closed
29,07-06-2018,19,26-06-2018,17828.062744140625,139.49066162109375,0.7824218683936346,18328.110076904297,18467.60073852539,Closed
30,10-07-2018,18,13-08-2018,17944.7607421875,2834.211181640625,15.794087323647021,18467.60073852539,21301.811920166016,Closed
31,19-11-2018,19,10-12-2018,21237.150268554688,-1103.4078369140625,-5.195649241828127,21301.811920166016,20198.404083251953,Closed
32,18-01-2019,17,12-02-2019,19569.23291015625,1190.498046875,6.083519228069201,20198.404083251953,21388.902130126953,Closed
33,26-03-2019,16,04-04-2019,21262.421875,-220.826171875,-1.0385748771857606,21388.902130126953,21168.075958251953,Closed
34,26-04-2019,15,07-05-2019,20306.021118164062,-718.7567138671875,-3.539623590877916,21168.075958251953,20449.319244384766,Closed
35,13-08-2019,16,03-09-2019,19933.71484375,-1068.814453125,-5.361842794997718,20449.319244384766,19380.504791259766,Closed
36,26-09-2019,15,05-11-2019,19011.1083984375,2206.3348388671875,11.605503438445087,19380.504791259766,21586.839630126953,Closed
37,17-01-2020,13,22-01-2020,20087.155029296875,-605.410888671875,-3.0139205267689206,21586.839630126953,20981.428741455078,Closed
38,22-04-2020,15,14-05-2020,19990.396728515625,1260.1959228515625,6.3040065685836755,20981.428741455078,22241.62466430664,Closed
39,23-11-2020,11,23-12-2020,21249.627319335938,-74.62060546875,-0.35116194908909604,22241.62466430664,22167.00405883789,Closed
40,20-01-2021,10,27-01-2021,20347.757568359375,-1581.513671875,-7.772422423266157,22167.00405883789,20585.49038696289,Closed
41,11-02-2021,10,15-03-2021,20357.6611328125,526.8408203125,2.5879241081547377,20585.49038696289,21112.33120727539,Closed
42,06-05-2021,11,21-06-2021,21035.029296875,3414.482177734375,16.23236235873291,21112.33120727539,24526.813385009766,Closed
43,16-08-2021,11,20-09-2021,23752.82958984375,2413.530517578125,10.161023167572857,24526.813385009766,26940.34390258789,Closed
44,11-10-2021,10,21-10-2021,26353.78173828125,-299.5361328125,-1.1365963935923373,26940.34390258789,26640.80776977539,Closed
45,12-01-2022,10,24-01-2022,25046.84814453125,-1422.67578125,-5.680059115783909,26640.80776977539,25218.13198852539,Closed
46,10-03-2022,10,08-04-2022,23766.73828125,2219.453125,9.338484308345185,25218.13198852539,27437.58511352539,Closed
47,02-06-2022,10,14-06-2022,27065.61767578125,-955.7373046875,-3.5311860092618885,27437.58511352539,26481.84780883789,Closed
48,27-07-2022,11,26-08-2022,26437.9306640625,2258.70068359375,8.543409513756073,26481.84780883789,28740.54849243164,Closed
49,28-10-2022,11,21-11-2022,27689.8359375,271.291259765625,0.9797503328584867,28740.54849243164,29011.839752197266,Closed
50,17-04-2023,12,17-05-2023,28309.3974609375,859.166015625,3.034914525505217,29011.839752197266,29871.005767822266,Closed
51,23-08-2023,11,24-08-2023,27744.199462890625,-466.39892578125,-1.6810682406067756,29871.005767822266,29404.606842041016,Closed
