,Summary,Summary
0,No. of Buy,27
1,No. of Sell,26
2,Number of trades,53
3,Portfolio Return,349.53%
4,Largest profit making trade,104.57%
5,Largest loss making trade,11.26%
6,Maximum Drawdown,26.01%
7,Annualized return,51.36%
8,Sharpe ratio,0.9
9,Win,42.31%
10,Benchmark return,85.26%
