,Buy Date,Stocks,Sell Date,Invested Amount (Rs.),Profit & Loss (Rs.),Returns (%),Opening Balance (Rs.),Closing Balance (Rs.),Position
29,04-02-2021,955,10-02-2021,39885.10082244873,-3733.3176040649414,-9.360180937448447,39917.902879714966,36184.585275650024,Closed
30,18-02-2021,850,17-03-2021,36172.810554504395,5972.720146179199,16.5116286365961,36184.585275650024,42157.30542182922,Closed
31,03-05-2021,796,28-05-2021,42146.52445983887,14495.253402709961,34.39252367421752,42157.30542182922,56652.558824539185,Closed
32,14-07-2021,869,15-07-2021,56633.11957550049,-774.0393142700195,-1.3667608637347062,56652.558824539185,55878.519510269165,Closed
33,14-09-2021,973,25-10-2021,55851.61564254761,10303.654438018799,18.44826567589837,55878.519510269165,66182.17394828796,Closed
34,14-01-2022,1049,24-01-2022,66131.72207641602,-6696.226577758789,-10.125589304965043,66182.17394828796,59485.947370529175,Closed
35,01-04-2022,1116,21-04-2022,59476.413345336914,938.8152465820312,1.578466477342877,59485.947370529175,60424.762617111206,Closed
36,14-07-2022,1239,05-08-2022,60391.03150177002,2942.9133110046387,4.873096613556571,60424.762617111206,63367.675928115845,Closed
37,25-08-2022,1114,16-09-2022,63338.8450012207,2567.6725997924805,4.053867101212516,63367.675928115845,65935.34852790833,Closed
38,17-10-2022,1051,14-11-2022,65895.41152191162,8845.36873626709,13.423345468183046,65935.34852790833,74780.71726417542,Closed
39,12-01-2023,938,24-03-2023,74739.38943481445,-7660.788955688477,-10.250002058646723,74780.71726417542,67119.92830848694,Closed
40,18-04-2023,893,15-05-2023,67106.9347000122,4447.108932495117,6.626899220438265,67119.92830848694,71567.03724098206,Closed
41,05-06-2023,839,15-06-2023,71530.69018554688,-877.4127731323242,-1.2266242236113722,71567.03724098206,70689.62446784973,Closed
42,16-06-2023,818,23-06-2023,70677.22328186035,-1710.9151000976562,-2.4207446482080064,70689.62446784973,68978.70936775208,Closed
43,05-07-2023,745,04-08-2023,68970.33935546875,4452.095718383789,6.45508744771861,68978.70936775208,73430.80508613586,Closed
44,22-08-2023,661,14-09-2023,73404.05201721191,12459.843948364258,16.97432717398577,73430.80508613586,85890.64903450012,Closed
