,Summary,Summary
0,No. of Buy,45
1,No. of Sell,45
2,Number of trades,90
3,Portfolio Return,758.91%
4,Largest profit making trade,34.39%
5,Largest loss making trade,10.25%
6,Maximum Drawdown,15.24%
7,Annualized return,4.15%
8,Sharpe ratio,0.09
9,Win,60.0%
10,Benchmark return,204.9%
